mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom,bbbp
gdb_19717,C1C2C1C1CC2CO1,3.38975,2.45563,2.41562,1.6248,69.26,-0.2412,0.0872,0.3284,713.6646,0.157876,-347.789161,-347.783565,-347.78262,-347.81838,24.544,-1753.541270032,-1766.0280716231,-1776.103983636,-1631.748675731,0.043448023
gdb_383,OCC(O)C#N,7.60375,2.27643,1.85366,2.1065,43.5,-0.2878,-0.0038,0.2839,617.6379,0.084113,-322.425235,-322.418738,-322.417794,-322.455292,22.348,-1048.275747315,-1053.974784053,-1059.901606558,-978.126516205,0.046809148
gdb_9893,C1CC1(CNC=O)O,3.75857,1.52355,1.31277,4.6608,65.28,-0.2365,0.0118,0.2483,969.409,0.142101,-401.010115,-401.00203,-401.001086,-401.042803,30.147,-1606.911869511,-1616.946993439,-1626.430536956,-1493.417454226,0.98181915
gdb_24091,C#CCOc1cc[nH]c1,7.22599,0.77547,0.7034,2.7027,78.33,-0.1956,0.0326,0.2282,1523.526,0.123794,-400.727328,-400.718817,-400.717873,-400.761016,31.564,-1662.6309036571,-1671.511411025,-1680.401331028,-1554.263864411,0.3842291
gdb_14831,CCC1COC1=NC,2.83531,1.6328,1.10487,1.9476,74.67,-0.2469,0.032,0.2788,1120.5859,0.164763,-365.06483,-365.055845,-365.0549,-365.098933,31.432,-1777.579257295,-1788.82735612,-1799.496264138,-1651.857829145,0.47921637
gdb_3833,N=C1C=NNN=N1,5.91696,3.0035,1.99433,2.7116,53.82,-0.2508,-0.0746,0.1763,576.2853,0.068788,-351.615495,-351.610013,-351.609069,-351.645802,19.272,-942.409958943,-947.856737063,-953.189936054,-875.941068118,0.8709757
gdb_26337,CN(C)c1cc([nH]c1)O,4.00903,1.01731,0.83278,0.6275,79.84,-0.1612,0.0708,0.232,1375.7437,0.158775,-419.221974,-419.212318,-419.211374,-419.25633,35.708,-1823.736309299,-1834.563349585,-1845.232257603,-1695.423896488,0.9930201
gdb_3683,Cc1[nH]nc(n1)C,7.11031,2.09045,1.6486,2.6378,59.28,-0.245,0.0178,0.2627,752.112,0.114656,-320.804155,-320.797088,-320.796143,-320.836094,24.286,-1357.661529657,-1365.669172006,-1373.373727508,-1266.091023814,0.50601727
gdb_26167,Cc1c(cco1)N(C)C,2.55748,1.31956,1.06016,0.8036,82.78,-0.2097,0.0248,0.2345,1234.3691,0.169939,-403.166592,-403.157079,-403.156135,-403.201566,34.705,-1937.587777205,-1949.3937315311,-1960.655635554,-1803.2857909891,0.98227984
gdb_7661,CC1(O)C2NC1C2O,3.20105,2.24826,1.57442,1.8718,64.63,-0.2418,0.0585,0.3003,832.6199,0.142348,-400.924771,-400.917534,-400.91659,-400.955542,29.346,-1553.3577414151,-1563.924992975,-1573.408536492,-1438.660391377,0.024592828
gdb_8464,CC12CC1(C)C(=N)O2,2.90921,2.10614,1.56964,2.9374,70.53,-0.2528,0.0258,0.2786,883.4288,0.140944,-363.850707,-363.842697,-363.841753,-363.882658,30.076,-1643.5577676021,-1653.6405822141,-1663.124125731,-1529.8569018561,0.40021434
gdb_26917,OC1=C(O)C=CC(=N)O1,3.08583,1.4535,0.98809,3.0876,72.25,-0.1884,-0.0386,0.1499,1100.9612,0.10032,-473.852313,-473.844227,-473.843283,-473.884761,30.416,-1468.0510304101,-1475.419868597,-1483.12379659,-1371.7647944321,0.9323194
gdb_26192,CC(O)C1=CC(N)=CO1,4.16934,0.92593,0.89486,1.9386,75.85,-0.1955,0.0213,0.2168,1367.4116,0.14735,-439.106905,-439.097674,-439.09673,-439.141109,34.389,-1763.8004146731,-1774.00559354,-1784.081505553,-1642.130184627,0.28888023
gdb_8505,CC12NC3(C)C1OC23,3.83094,2.08516,1.62043,1.3973,68.54,-0.2316,0.066,0.2976,839.5306,0.140879,-363.76057,-363.753256,-363.752312,-363.791543,28.574,-1586.995988869,-1597.5155497451,-1606.999093262,-1472.681419321,0.18687667
gdb_11824,CC1C(O)CC11CC1,3.62567,1.59996,1.31343,1.3013,75.11,-0.248,0.0723,0.3203,1002.9107,0.176327,-348.979019,-348.970558,-348.969614,-349.011543,32.507,-1872.33625384,-1884.802347634,-1896.064879166,-1739.246615012,0.083554976
gdb_15264,CCC1C(CO)N1C,2.79401,1.41051,1.11811,2.6288,75.5,-0.2124,0.0687,0.2811,1164.8664,0.186909,-366.222187,-366.212298,-366.211354,-366.257199,35.151,-1875.9795710941,-1888.437507271,-1900.293034808,-1737.4575868531,0.5602298
gdb_16587,CC1C2N1C(C)C2=O,3.11377,1.89396,1.53447,2.3557,69.22,-0.2385,-0.023,0.2155,901.7822,0.141193,-363.8404,-363.832521,-363.831577,-363.872388,29.323,-1637.090032339,-1647.25505063,-1656.738594147,-1523.412384426,0.7261447
gdb_6259,CC(C)CC(=O)C#N,4.21275,1.06968,0.94792,3.6157,70.11,-0.2952,-0.0851,0.2101,1241.6736,0.139462,-363.895049,-363.885828,-363.884884,-363.929465,32.138,-1671.38277168,-1680.7056728931,-1690.18921641,-1559.2287156191,0.50839967
gdb_8508,CC12OC3(C)C1OC23,3.75423,2.15074,1.64212,0.216,64.8,-0.2384,0.064,0.3024,819.8883,0.127755,-383.640772,-383.633495,-383.632551,-383.671756,28.153,-1524.0926041821,-1533.746830147,-1542.637377659,-1416.522501366,0.043332886
gdb_2408,OC1C2OC1C2=O,6.98835,2.16774,2.04542,1.4264,47.13,-0.2598,-0.0317,0.2281,615.7009,0.077569,-380.316551,-380.310966,-380.310022,-380.345831,21.045,-1088.4984467061,-1094.770399161,-1100.696594157,-1015.472086831,0.9668528
gdb_27006,C#CCc1c(nc[nH]1)O,3.35996,1.1784,0.89286,2.258,73.11,-0.1971,0.0302,0.2273,1227.2342,0.112886,-416.813278,-416.804899,-416.803955,-416.847179,30.936,-1567.9611308631,-1576.035289166,-1584.332213164,-1466.1051250011,0.464795
gdb_16894,CC1CC2CC2C=C1,3.96168,1.71451,1.33732,0.3252,80.28,-0.2275,0.0233,0.2508,980.7213,0.179169,-311.875446,-311.868065,-311.867121,-311.906761,29.626,-1944.019116946,-1957.1635479691,-1968.426079501,-1810.4268434091,0.6517777
gdb_17214,C1OC11CC2COC12,4.44378,1.8247,1.56977,1.9049,64.05,-0.2427,0.0518,0.2945,831.7857,0.130707,-383.674808,-383.668186,-383.667242,-383.705799,25.415,-1545.450500506,-1555.5157448661,-1564.406292378,-1437.884790253,0.6013507
gdb_21679,c1c(=O)onc(n1)N,5.81676,1.69007,1.31139,4.5473,56.46,-0.249,-0.1017,0.1474,833.8634,0.072729,-430.71364,-430.707162,-430.706217,-430.744343,23.949,-1124.348035876,-1130.058995285,-1135.983935263,-1049.104686704,0.8748332
gdb_24273,C1C2CC3=CC=CN3C12,3.82095,1.61663,1.25496,2.0926,82.15,-0.1932,0.0469,0.2401,1000.3213,0.15167,-364.842993,-364.836412,-364.835468,-364.873765,27.499,-1871.544964991,-1883.4142977261,-1893.490209739,-1748.2331714011,0.14096041
gdb_26812,C#Cc1cc(c(o1)O)N,3.76643,1.12069,0.86526,1.4049,80.05,-0.1801,-0.0094,0.1707,1249.0194,0.09923,-436.673395,-436.664365,-436.663421,-436.707571,32.382,-1492.4542279111,-1499.231325111,-1506.935253104,-1397.508351157,0.82514644
gdb_1706,C1C(CO1)(C#N)N,4.48113,2.21534,1.90956,2.2355,54.18,-0.2692,0.0157,0.2849,688.6646,0.102327,-340.611734,-340.60485,-340.603906,-340.642831,24.183,-1249.186558863,-1256.420482615,-1263.532669621,-1163.825254575,0.78640485
gdb_22141,CC(=NO)CC#CC#C,4.50856,0.60249,0.5894,0.762,90.9,-0.2458,-0.0195,0.2263,1858.6098,0.120261,-400.658762,-400.648591,-400.647647,-400.695217,35.716,-1619.6051215631,-1627.4439639911,-1636.333883994,-1512.9743997201,0.4572556
gdb_21863,c1c(nnn1C=O)O,7.96586,1.33485,1.14327,3.9169,56.33,-0.2525,-0.0734,0.1791,928.9564,0.072446,-430.721562,-430.715065,-430.714121,-430.752383,23.265,-1129.319162174,-1135.018198912,-1140.943766399,-1054.149859064,0.36171097
gdb_13084,OC1CNC1CC#N,4.46773,1.26752,1.07659,3.556,65.31,-0.2497,0.0345,0.2842,1067.6189,0.131246,-379.90668,-379.898744,-379.8978,-379.939652,28.621,-1530.077157515,-1539.3172275401,-1548.207775052,-1423.3943524251,0.19585674
gdb_6838,CCC1CCC1(C)O,3.01471,1.42292,1.25776,1.2682,78.14,-0.2505,0.0763,0.3268,1119.8219,0.198832,-350.206833,-350.197495,-350.196551,-350.240206,35.574,-2014.9489692521,-2028.6418431411,-2041.090366683,-1869.0211237931,0.9669591
gdb_1566,CCC(C)CCO,5.89918,1.09101,0.98094,1.3242,71.22,-0.261,0.0805,0.3416,1234.4279,0.193096,-312.124451,-312.11489,-312.113946,-312.158831,33.666,-1867.1015737621,-1879.7653328911,-1891.621487937,-1730.9327482711,0.592589
gdb_21445,N=C1ON=NOC1=O,3.38293,2.57368,1.46166,2.2456,49.95,-0.3165,-0.0974,0.2191,732.6491,0.046269,-466.569063,-466.562679,-466.561735,-466.600591,22.069,-897.291434334,-901.283646592,-906.023222069,-835.680718187,0.6935704
gdb_16566,C1CC2CC1CCC2,2.71685,2.40681,1.96972,0.0177,79.56,-0.2861,0.0753,0.3614,846.0212,0.205785,-313.109072,-313.102462,-313.101518,-313.139291,28.268,-2090.2789146661,-2105.6842606161,-2118.132784158,-1942.6279294931,0.5596028
gdb_9734,C1CCC(C1)(C#N)O,3.75385,1.52078,1.48577,3.5882,68.0,-0.2964,0.0222,0.3186,928.2423,0.143182,-363.892389,-363.884562,-363.883617,-363.924941,29.212,-1669.71359774,-1679.9112464991,-1689.394162507,-1556.3898649031,0.80942714
gdb_12127,CC12NC1C1(C)NC21,3.9863,1.66861,1.66508,3.0301,72.46,-0.1938,0.0788,0.2726,898.199,0.153008,-343.883619,-343.876001,-343.875057,-343.914836,30.127,-1651.939405315,-1663.156756199,-1673.233295721,-1531.04038383,0.18985948
gdb_9912,CCCOC1(CC1)C,4.50712,0.96283,0.90133,0.9513,79.34,-0.2429,0.0897,0.3327,1411.651,0.198057,-350.193362,-350.183628,-350.182684,-350.228248,35.519,-2006.495795513,-2019.940175838,-2032.38869938,-1861.517371171,0.64583606
gdb_28073,c1c(coc1N)OC=O,6.57809,0.8179,0.7483,4.7443,67.46,-0.2037,-0.0011,0.2026,1416.6338,0.100358,-473.859152,-473.85094,-473.849996,-473.892559,29.542,-1472.342564461,-1479.632336514,-1487.336264507,-1376.658109614,0.5998256
gdb_14143,OC1CC11CCC=C1,3.99629,1.60908,1.395,1.2313,74.61,-0.2174,0.0282,0.2456,944.8899,0.154438,-347.797559,-347.790005,-347.789061,-347.829416,29.211,-1758.811090614,-1770.0692295831,-1780.145769105,-1638.673865055,0.8457853
gdb_27941,C(=O)c1c(oc(n1)N)N,2.57629,1.40416,0.91068,6.1144,70.97,-0.2021,-0.0267,0.1754,1186.5668,0.101499,-470.049131,-470.040883,-470.039939,-470.081844,30.433,-1430.680986933,-1437.947541153,-1445.651469146,-1334.200850674,0.37411404
gdb_15551,CC1NC=NC1C#N,3.57698,1.90675,1.39812,5.5928,65.37,-0.2453,0.0047,0.25,868.313,0.120667,-358.867797,-358.860481,-358.859537,-358.899505,26.869,-1493.749406487,-1502.489979348,-1510.787530855,-1392.90682766,0.9646582
gdb_3673,Cc1cc(no1)O,7.83458,2.03311,1.63058,1.9537,52.61,-0.247,0.0004,0.2474,716.0947,0.090286,-360.520081,-360.513792,-360.512848,-360.550356,22.655,-1203.9444149811,-1210.6631538441,-1217.182344845,-1124.8048624281,0.9908071
gdb_16518,CC12CCC3CC1C23,3.42475,2.28889,1.77006,0.1917,77.54,-0.2456,0.0956,0.3412,836.5689,0.179571,-311.860085,-311.853274,-311.85233,-311.890451,28.299,-1934.3799511971,-1947.8820623501,-1959.144593882,-1800.192171619,0.15988886
gdb_1729,CC#CC1(CC1)C,5.44239,1.43466,1.26723,0.0587,74.05,-0.225,0.0633,0.2883,1008.4572,0.146569,-272.55467,-272.546237,-272.545293,-272.588649,29.648,-1646.919960824,-1656.7379666381,-1666.222137664,-1537.49745144,0.953252
gdb_15050,CNC(C#N)C1CC1,2.86217,1.53731,1.07476,3.1596,72.72,-0.2461,0.0319,0.2779,1118.7264,0.153876,-343.971568,-343.96279,-343.961846,-344.005309,31.324,-1707.128194356,-1717.6176348,-1727.694174322,-1587.813005587,0.0047744676
gdb_21391,c1n[nH]c2n1cnn2,5.8327,2.32017,1.65989,3.951,56.25,-0.2344,-0.0237,0.2108,681.1339,0.076194,-389.754143,-389.748837,-389.747893,-389.783411,20.161,-1125.564775827,-1132.011175784,-1137.936743271,-1049.316784746,0.9749034
gdb_8967,C#CC(=O)CCC#N,5.89626,0.91523,0.79997,3.8667,66.02,-0.2861,-0.0761,0.21,1299.8074,0.09295,-361.457648,-361.449215,-361.448271,-361.491615,28.594,-1397.5949473991,-1403.858114728,-1410.969674225,-1311.9010633411,0.2735859
gdb_21421,N=C1NN=NC(=O)N1,4.06028,2.07496,1.3732,4.46,57.09,-0.2696,-0.0879,0.1816,796.464,0.0741,-426.898652,-426.892342,-426.891398,-426.929466,23.115,-1079.569621145,-1085.385374557,-1091.310942044,-1004.035735306,0.99057215
gdb_5163,N=COC1=CN=CO1,7.99309,1.25911,1.11803,2.665,59.08,-0.2431,-0.0102,0.2329,982.6319,0.084608,-414.672367,-414.665657,-414.664713,-414.704451,23.172,-1247.053028263,-1253.507585837,-1260.026149329,-1166.298895053,0.06767964
gdb_18134,CC1C2CC(C#C)N12,3.30864,1.95056,1.53678,1.6699,73.7,-0.229,0.0311,0.26,875.6619,0.14167,-326.641446,-326.633832,-326.632888,-326.672901,29.474,-1648.920459516,-1659.2523952011,-1668.735938718,-1535.1643729781,0.3156681
gdb_17317,CC1C2N3CC3C12C,2.61212,2.42745,1.65218,1.7214,75.05,-0.2145,0.0699,0.2844,879.7138,0.165228,-327.834618,-327.826913,-327.825969,-327.866013,30.264,-1769.79500815,-1781.846946004,-1792.516481531,-1642.6303093,0.6632059
gdb_10429,CCC1(CCO1)C=O,2.70252,1.88952,1.40445,2.6098,67.88,-0.2437,-0.0327,0.211,957.3742,0.15168,-384.935327,-384.926616,-384.925672,-384.969066,30.731,-1708.585897763,-1719.1173813101,-1729.193920832,-1589.3736204701,0.7049657
gdb_5220,CCCc1ccc[nH]1,6.3042,1.03742,0.9521,1.8671,78.86,-0.1933,0.0489,0.2422,1270.3901,0.166931,-327.973997,-327.965737,-327.964793,-328.007476,30.514,-1857.256585061,-1868.9602554201,-1879.629790947,-1731.3996149671,0.8890298
gdb_14934,C1CC(=CNC1)C=O,4.51687,1.45653,1.14164,5.9331,75.95,-0.2057,-0.0169,0.1888,1020.5233,0.144498,-363.902675,-363.895209,-363.894265,-363.934459,27.9,-1676.168155314,-1686.592334822,-1696.075878339,-1562.362495565,0.80308354
gdb_23365,NC(=[NH2+])C(=N[O-])C1CO1,1.93801,1.70301,0.96928,5.8361,75.47,-0.1766,-0.0389,0.1376,1170.3807,0.12335,-471.137692,-471.12881,-471.127866,-471.171407,32.963,-1485.911191568,-1494.55701057,-1503.446930573,-1376.688857555,0.80043054
gdb_23787,c1c(nc(nn1)F)N,3.99207,2.00586,1.33521,5.9256,56.02,-0.2426,-0.058,0.1846,807.3695,0.073035,-434.891029,-434.884628,-434.883684,-434.921642,23.405,-1126.83046148,-1132.589739082,-1138.515306569,-1051.565777002,0.543409
gdb_10048,OCC(CC#C)C#C,3.39475,1.35785,1.00756,1.6608,72.99,-0.2556,0.0275,0.2831,1117.816,0.127386,-346.530365,-346.521318,-346.520374,-346.563975,32.951,-1591.4870707821,-1600.0312333261,-1608.921780838,-1485.8208302721,0.8061383
gdb_11354,CCC1=CC(C)OC1,4.98978,1.1878,1.04937,1.7281,78.48,-0.2248,0.0229,0.2477,1201.3854,0.176428,-349.02135,-349.012566,-349.011622,-349.055125,31.904,-1898.899337319,-1911.1627457061,-1922.425277238,-1766.59471225,0.04765342
gdb_11856,CCC1CC2(CO2)C1,5.91078,1.06102,1.00231,1.9242,75.74,-0.2565,0.0776,0.3341,1235.1454,0.17625,-348.980009,-348.971687,-348.970743,-349.012996,31.337,-1872.95748775,-1885.510805295,-1896.773336827,-1740.158385589,0.9147779
gdb_12252,COC1CC(=O)C1O,3.10068,1.67193,1.3173,4.1528,61.82,-0.233,-0.0253,0.2077,961.3135,0.128279,-420.862533,-420.854234,-420.853289,-420.895511,29.763,-1526.573774768,-1535.5860590261,-1544.4759790291,-1419.998901226,0.17365254
gdb_1309,CC1(O)CNC1=O,3.5428,2.65711,2.21803,2.5062,54.09,-0.2424,0.026,0.2684,663.4271,0.112415,-361.733362,-361.725984,-361.72504,-361.764477,26.451,-1337.437542096,-1345.250029146,-1352.955212157,-1245.454135331,0.069629945
gdb_17399,CC1CC11CC2NC12,4.07917,1.55651,1.50353,1.4994,75.95,-0.2214,0.0847,0.306,948.7208,0.165935,-327.864864,-327.857351,-327.856407,-327.896354,29.576,-1788.7746453641,-1800.9470649461,-1811.616600473,-1661.669559869,0.18310566
gdb_11739,OCC12CC1C(=O)C2,4.88928,1.33327,1.20318,3.1957,65.9,-0.2439,-0.012,0.2319,996.8107,0.129942,-383.725009,-383.717436,-383.716492,-383.757101,28.312,-1576.9520798151,-1586.420563116,-1595.311110628,-1470.077256971,0.29613927
gdb_17972,C1CCCCCCC1,2.24434,2.1305,1.29579,0.0427,83.98,-0.284,0.0785,0.3625,1064.7482,0.227422,-314.288168,-314.280069,-314.279125,-314.320104,32.614,-2202.320646616,-2218.5687371531,-2232.203252705,-2042.3761326241,0.9777035
gdb_10043,COC(CC#C)C#C,3.23932,1.35789,1.00081,1.2471,73.09,-0.2605,0.0278,0.2883,1144.5468,0.126368,-346.519534,-346.51022,-346.509276,-346.553678,32.938,-1584.6905208031,-1593.067138444,-1601.957685956,-1479.359370099,0.10893503
gdb_27637,Cc1cc(c([nH]1)C)C#N,2.99793,1.21623,0.87466,6.5879,84.83,-0.2156,0.0003,0.2159,1298.266,0.136605,-380.94911,-380.940076,-380.939132,-380.983035,32.524,-1789.5301662001,-1798.971039105,-1808.453955113,-1674.574282454,0.33601093
gdb_28405,c1c(oc(=O)c(n1)N)O,3.2716,1.46754,1.01377,0.7854,68.18,-0.202,-0.053,0.149,1064.6381,0.089508,-489.940986,-489.933293,-489.932349,-489.972973,29.19,-1375.089964623,-1381.816233594,-1388.927165582,-1284.891820963,0.86995417
gdb_16416,OC1C=CC2CC1O2,3.53919,2.29603,1.8696,2.2451,64.08,-0.2433,-0.0053,0.238,753.9291,0.132777,-383.718241,-383.712015,-383.711071,-383.748286,25.418,-1572.705098903,-1583.0188368271,-1591.909384339,-1464.5457651361,0.9491066
gdb_13866,[O-]C(=O)C1CC[NH2+]C1,3.81574,1.62929,1.51687,5.9092,63.63,-0.248,0.029,0.277,892.1983,0.145445,-401.042072,-401.034952,-401.034008,-401.073903,26.605,-1626.9651746241,-1637.605844737,-1647.089388254,-1512.932984126,0.5423767
gdb_3551,CC1C2C3CC1N23,5.0569,2.81896,2.50978,1.773,62.81,-0.2398,0.0815,0.3212,619.0303,0.138772,-288.583563,-288.577776,-288.576832,-288.612808,22.902,-1516.4464070171,-1527.035621392,-1535.926796413,-1410.430643994,0.030934928
gdb_3780,CNc1ccno1,7.61804,2.08998,1.66417,3.9931,57.3,-0.2065,0.0175,0.224,718.8532,0.102917,-340.625366,-340.61887,-340.617926,-340.655883,23.074,-1257.740761551,-1265.218158795,-1272.330345801,-1172.015502043,0.2145901
gdb_14274,C1C2CC1OCCO2,2.86855,2.6736,1.85421,0.4518,66.91,-0.2398,0.0754,0.3153,779.5799,0.156436,-384.91429,-384.907952,-384.907008,-384.944292,26.301,-1695.3849909301,-1707.4055533341,-1717.482092856,-1573.8277125041,0.94670635
gdb_16319,COC12CC1CC2=O,3.14693,2.05636,1.43765,2.749,65.96,-0.2319,-0.0117,0.2203,885.8853,0.129186,-383.71533,-383.707629,-383.706685,-383.74757,28.192,-1570.8784202041,-1580.2665823531,-1589.157129865,-1464.0964686921,0.39384046
gdb_24462,c1coc2c1COCO2,3.67706,1.61882,1.15967,1.7763,66.41,-0.2013,0.0271,0.2283,987.3713,0.115614,-457.782005,-457.775486,-457.774542,-457.812955,25.623,-1572.5362989821,-1581.7776240251,-1590.074548023,-1468.9326805551,0.9564264
gdb_26352,CC(O)C1=CNC=C1O,2.50553,1.44449,0.94435,1.8943,74.7,-0.193,0.0416,0.2347,1209.5623,0.147412,-439.11021,-439.101009,-439.100064,-439.144295,34.724,-1765.874331918,-1776.098336055,-1786.173620559,-1644.129428301,0.5252132
gdb_9758,CCC1(O)CCC=C1,3.78844,1.48093,1.39472,1.2123,76.22,-0.2448,0.016,0.2608,1013.6886,0.176633,-349.021748,-349.013132,-349.012188,-349.054604,32.624,-1899.149085901,-1911.5179158,-1922.780447332,-1766.267780061,0.9634584
gdb_8857,CCC(C)C(=O)C#C,3.81909,1.20274,1.02484,2.6991,75.09,-0.2597,-0.0555,0.2043,1189.7545,0.150318,-347.792585,-347.782936,-347.781992,-347.82748,33.949,-1755.689860848,-1765.6333684621,-1775.709907984,-1637.459007631,0.3463329
gdb_6785,COCCOC(=O)N,5.53393,0.87583,0.79365,2.6367,62.59,-0.2588,0.0583,0.3171,1424.5088,0.140591,-438.166812,-438.15742,-438.156476,-438.202632,31.831,-1568.5647945211,-1577.779136677,-1587.262680194,-1456.779713752,0.7188688
gdb_12931,COC1C2OCC12O,3.56377,1.75168,1.43903,1.7047,60.94,-0.226,0.0655,0.2915,900.3153,0.128529,-420.802176,-420.794165,-420.793221,-420.834609,28.995,-1488.699214055,-1497.8922209051,-1506.782768417,-1381.7823481081,0.029832926
gdb_8440,CC12CN1CC2(C)O,2.77523,2.1084,1.77199,2.442,70.98,-0.2238,0.0672,0.2911,869.2935,0.163824,-365.023075,-365.014669,-365.013724,-365.054993,32.567,-1751.377619,-1762.9890455361,-1773.657953554,-1624.285083685,0.61879814
gdb_13899,CC(O)C1C(C)N1C,2.73028,1.63734,1.24042,1.4865,75.13,-0.2153,0.073,0.2883,1079.0571,0.186108,-366.229833,-366.219841,-366.218897,-366.264384,36.05,-1880.777504908,-1893.170807658,-1905.026335195,-1741.966239018,0.9653189
gdb_17074,C(C1CCO1)N1CC1,5.5344,1.19833,1.06878,1.851,72.22,-0.2301,0.0877,0.3179,1140.104,0.165853,-365.006047,-364.998095,-364.997151,-365.039237,28.895,-1740.6923957481,-1752.58871137,-1763.258246897,-1614.3980518811,0.019335007
gdb_27060,CC1=C(OC=N)C=CO1,3.29549,1.12429,0.86256,2.7565,75.37,-0.2183,0.0049,0.2232,1294.4124,0.123663,-437.908898,-437.900334,-437.89939,-437.943067,30.446,-1639.8918600241,-1648.738481906,-1657.628401909,-1531.570628935,0.6960439
gdb_9161,C(C(=O)C#CC#N)O,8.10511,0.77585,0.71121,4.3077,67.85,-0.2916,-0.1057,0.1859,1424.5879,0.069765,-397.378532,-397.370235,-397.369291,-397.412228,27.207,-1211.6157125061,-1216.186488062,-1222.112055549,-1138.8667116091,0.35145348
gdb_7608,CC1CC1(O)C(N)=O,3.45946,1.59622,1.31946,2.8396,65.46,-0.2381,0.0296,0.2677,975.3996,0.141019,-401.026976,-401.018318,-401.017374,-401.059723,32.452,-1617.4922987601,-1627.167860031,-1636.651403548,-1504.0349065061,0.9968444
gdb_7261,CC(O)C(=N)OC=O,4.35212,1.17304,0.98716,1.049,60.44,-0.2741,-0.0398,0.2343,1137.887,0.116123,-436.960613,-436.951855,-436.950911,-436.994557,30.271,-1439.5156861441,-1447.350763518,-1455.648315025,-1339.924360263,0.174171
gdb_21536,C#Cc1c(cn[nH]1)N,3.57947,1.95625,1.26683,2.1543,71.33,-0.1991,-0.0114,0.1877,886.8365,0.096945,-357.628388,-357.621085,-357.620141,-357.659634,27.472,-1343.86072422,-1350.83234921,-1357.943908707,-1256.099198007,0.99386734
gdb_14511,CC1(CO)C2CC1C2,3.47218,1.77724,1.4716,1.4535,74.78,-0.2579,0.0701,0.328,935.3847,0.177886,-348.940845,-348.932992,-348.932048,-348.972738,30.938,-1848.3817252741,-1861.2293445401,-1872.491876072,-1714.896128267,0.96292347
gdb_4437,Cc1c(oc(=O)[nH]1)N,3.56082,1.86233,1.24038,4.1842,60.71,-0.2073,0.032,0.2393,922.6962,0.107663,-415.919852,-415.912126,-415.911182,-415.951648,28.18,-1402.009473214,-1409.603587132,-1417.308142634,-1307.70365564,0.9358029
gdb_9505,CC1CCC1(C)C=O,2.74197,1.63683,1.51486,2.6792,75.39,-0.2434,-0.019,0.2244,990.1195,0.175235,-349.014257,-349.005309,-349.004365,-349.047662,32.973,-1894.448415982,-1906.6089128931,-1917.871444425,-1761.9116125831,0.94170874
gdb_23833,FC1=NC=NNC1=N,3.4374,2.43731,1.42611,0.7382,57.12,-0.2359,-0.0736,0.1623,762.8801,0.074264,-434.871231,-434.865255,-434.864311,-434.901515,22.275,-1114.407038298,-1120.433007225,-1126.358574712,-1038.935903359,0.09041445
gdb_3405,CC1C2CC(O)C12,3.7062,2.73646,2.16001,1.4069,63.84,-0.2486,0.0728,0.3214,693.178,0.148813,-309.685651,-309.678728,-309.677784,-309.716021,26.752,-1592.43586439,-1603.200781285,-1612.684952311,-1480.4926513531,0.9907939
gdb_18733,OC1COCC2CC12,3.03465,2.19891,1.47296,0.2209,66.77,-0.2422,0.0685,0.3107,872.5306,0.155781,-384.921952,-384.914775,-384.913831,-384.953105,28.199,-1700.192964888,-1711.6870472411,-1721.763586763,-1579.357949321,0.9369926
gdb_1539,CCCC(C)C#C,5.08349,1.28041,1.08099,0.7621,73.74,-0.2569,0.0586,0.3155,1124.1845,0.169345,-273.762417,-273.753418,-273.752474,-273.795788,32.351,-1776.940453133,-1788.1803943411,-1798.850557377,-1653.765456505,0.5771384
gdb_24382,c1coc2c1CN=CN2,3.78636,1.63116,1.15084,1.8854,72.65,-0.1883,0.006,0.1944,987.8212,0.116339,-416.841733,-416.835055,-416.83411,-416.87285,26.246,-1585.816899458,-1594.95845057,-1603.254747059,-1482.21390854,0.9817316
gdb_23268,ON=C1CC2CC2C1O,2.5675,1.49476,1.08436,1.5498,74.22,-0.2536,-0.0013,0.2523,1121.5041,0.147918,-439.041289,-439.033018,-439.032074,-439.074107,32.08,-1722.6257841291,-1733.4333716361,-1743.509283649,-1600.0858266091,0.38457027
gdb_23398,ON=C1C2COCC1O2,2.91738,1.38783,1.3283,0.4879,68.17,-0.2485,0.0012,0.2497,1019.5992,0.124809,-474.941027,-474.933596,-474.932652,-474.972968,28.586,-1523.3772439221,-1532.9342059921,-1541.824125995,-1413.401899109,0.7269553
gdb_16162,CCC12OC1CC=C2,4.46666,1.61633,1.38218,1.7305,72.31,-0.2413,0.0063,0.2476,954.5836,0.15385,-347.801507,-347.794022,-347.793078,-347.833165,28.851,-1761.2884961461,-1772.589933236,-1782.666472758,-1641.026396296,0.99866986
gdb_18372,OC1COC2CCC12,3.11781,2.2333,1.58752,1.0392,66.15,-0.243,0.0624,0.3054,842.8827,0.155478,-384.927746,-384.920583,-384.919639,-384.959286,27.733,-1703.8287520341,-1715.3316195131,-1725.408159035,-1583.2365824501,0.04988545
gdb_12449,C1CC=CCC(=O)C1,2.99741,2.02508,1.37539,2.8674,73.06,-0.2273,-0.0117,0.2156,924.4954,0.155538,-347.836311,-347.828925,-347.82798,-347.868093,28.239,-1783.1283193821,-1794.491879863,-1804.567791876,-1662.944030648,0.20171972
